Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
CFB2059,0.00951167188214899,0.0188406812222782,0.00875567301082851,0.0950093461734703,0.0198360453381835,0.0269542122600317,0,0,0.0693737671605521,0,0.0659159720178543,0.00817106148385551,0.100839983393754,0,0,0.0336229088144254,0,0,0.0354019030580867,0,0,0.50776677418453,0,0.942075638211565,0.410744930929946
CFB2060,0.00156132915440828,0.0219812437896403,0.00815754154723193,0.143937931526545,0,0.036741998993867,0.00322705214232739,0,0.0439764632248517,0,0.11760779436683,0.011368128710763,0.12961419686948,0,0,0.017665968305555,0,0,0.0294936273604586,0,0,0.434666724008042,0,0.931114280484356,0.456163531962706
CFB2061,0.0383699402641905,0.00213917006214959,0.00864821077763156,0.037031416860875,0.0447946265189216,0,0.0137354937102465,0,0.0330904639570523,0,0.0250303960046813,0,0.0304212597606446,0,0,0.0130494273023215,0,0,0.027315075385241,0,0,0.726374519396045,0,0.951321792606474,0.320597520669302
CFB2071,0.0231782046802184,0.0234468665436458,0.0105294140966065,0.0415433838592091,0.0312494908732615,0,0.0403005459304876,0,0.0186199119131183,0,0.0346050319590362,0,0.0353559935545157,0,0,0.00911292825308891,0,0.00146986754018892,0.0334728600040201,0,0,0.697115500792603,0,0.929037979169073,0.380108662940085
CFB2074,0.00208418291066568,0.0225993078192266,0.00602240684741139,0.0848482699019437,0.0442966998216512,0,0.00639831928348081,0,0.0494788300853508,0,0.0494371607973771,0.0277392640732886,0,0,0,0.030980479496422,0,0,0.0455907035876183,0,0,0.630524375375564,0,0.949552616787579,0.352309605943643
CFB2075,0.0177818952919831,0.0416903647974415,0.00853795412530428,0.0748991162956658,0,0.0578986130580454,0,0,0.0522397502805895,0,0.0384352540202419,0.0081305930608182,0.0242345411596489,0,0,0.0396223468308867,0,0.00236951402666063,0.0394867703963235,0,0.0119566809086568,0.582716605747734,0,0.946520919387894,0.377211594099849
CFB2082,0.0416921238068742,0.00879694032162414,0.0107674440592674,0.102586962498812,0.0418140089231501,0.021977333221327,0,0,0.0751804634136431,0,0.0454682940574728,0.0203429804663497,0.0592057577380372,0,0,0.0314191235479521,0,0,0.0394518001867736,0,0,0.501296767758716,0,0.937097323538473,0.430056024846624
CFB2084,0.0289194318936874,0.0140015275881671,0.00838151730826836,0.0381097003167841,0.0334269777385308,0,0.00261690699776802,0,0.055683828814979,0,0.0252246386276826,0.00451755891114873,0.0597030775417176,0,0,0.0176917451201295,0,0,0.0381421182953914,0,0,0.673580970845745,0,0.92952562233736,0.380782398895189
CFB2087,0.0243910792747069,0.0116873481470875,0.00867718454842196,0.0828495749412965,0.0168736798671966,0.00870338614834126,0,0.00365116738937902,0.0461105268590327,0,0.0155256183307538,0.0191442697891332,0.0458358693919465,0,0,0.0324966352053871,0,0.00128091500847331,0.0319802110201841,0,0,0.65079253407866,0,0.947739956957992,0.344481173017979
CFB2088,0.0118398971026218,0.0141724839076907,0.00447251088197676,0.0489881422063934,0.00805436506087917,0.00961140611242856,0,0.00672373835924845,0.0490154743734992,0,0.0380397954176881,0.0180759453013929,0.0511572725816176,0,0,0.0266773620326646,0,0.00212892464177973,0.0337349081448406,0,0,0.677307773875278,0,0.912295623622216,0.418816987114867
CFB2098,0.0342143632116716,0.00575709831413666,0.00517597445401387,0.0478571910175769,0.021969138862715,0,0.024176282940253,0,0.0319807866472391,0,0.0442407291607262,0,0.0430955206017116,0,0,0.0143800639406404,0,0,0.0232124516286758,0,0,0.70394039922064,0,0.952108588213885,0.320815002439812
CFB2102,0.0159422363578819,0.0197756841422369,0.0073530388929863,0.00920211677015944,0.0141798859166444,0.0106474571199866,0.0140870764568492,0,0.0258304110201455,0,0.0373811081240305,0,0.0366181492990069,0.00400195148516796,0,0.029610109534109,0,0,0.022790078374586,0,0,0.752580696506209,0,0.960623502044501,0.290585642380745
CFB2105,0.0307628830650588,0.0121495094541991,0.0090558734780617,0.03434170077837,0.0499748258836348,0,0.000845425323236458,0.00139404101807343,0.042673687786898,0,0.0341612871275765,0.00919508664991917,0.030643836087255,0.00523056453358474,0,0.0333849580710002,0,0,0.0424201501903339,0,0,0.663766170552798,0,0.94106992323086,0.357588741794948
CFB2108,0,0.02607973314783,0.0107673119618895,0.0362182793993305,0.0184951395632244,0.0179977127554906,0.00461242237150891,0,0.0383947297146752,0,0.0395260868375671,0,0.0515360093744153,0.00608280961737867,0,0.0354907298811184,0,0,0.0356312149364336,0,0,0.679167820439138,0,0.915645129057252,0.410588002324059
CFB2112,0.0410821314139776,0.0311345295911777,0.0107591641476238,0.121162572060434,0.0489655703203186,0.0215437669149766,0,0,0.065070229397176,0,0.0445636103353116,0.0242299203676597,0.0655251052807734,0,0,0.0229081183693616,0,0.00602498146933199,0.0353478656890607,0,0,0.461682434642817,0,0.936771768654782,0.451044691452534
CFB2127,0,0.0290804449953506,0.00709981508267623,0.0931949277764166,0.019030810410251,0.0483514875405884,0,0,0.0370508216031516,0,0.0326392097816287,0.0155233962787571,0.088237968226577,0,0,0.0261106757824375,0,0,0.0402504899202586,0,0,0.563429952601907,0,0.949597185163051,0.369962623551268
CFB2128,0.0719615416395152,0,0.0104234352003643,0.10377209173905,0.0492264269473454,0.0402971436215289,0,0,0.0619490337731332,0,0.0470766879012803,0.00974539809386934,0.126505644914679,0,0,0.0350058535094567,0,0,0.0309883278273191,0,0.00393270418820623,0.409115710644253,0,0.914326577886958,0.499235626934339
CFB2134,0.0244741741715162,0.00957441833383274,0.00811933961482295,0.0591437491092655,0.0334441248378835,0.0244630704158336,0,0,0.0553400614665436,0,0.0463241954548135,0.0196027117587102,0.0420308235035453,0,0,0.0232952507005376,0,0,0.0367369458935513,0,0,0.617451134739144,0,0.95122747433075,0.348918881540248
CFB2138,0.0509816285509465,0.0357205227481176,0.0115107253869963,0.194302373905737,0.0188624879217523,0.0444837315802263,0,0,0.08808468419067,0,0.0799481787190341,0.018308588799086,0.0500506006025588,0,0,0.0227774356581588,0,0.00040456054408753,0.0165935758380309,0,0,0.367970905554598,0,0.93693752031827,0.491761975875991
