Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
CFB2112,0.137821574785421,0.104449544139267,0.036094644926233,0.406473956235376,0.164268789849509,0.0722746308635271,0,0,0.21829640231656,0,0.149501175891932,0.0812860887947998,0.219822411519382,0,0,0.0768517318933957,0,0.0202124964206165,0.118584366168314,0,0,1.5488436944046,0,0.936771768654782,0.451044691452534,3.35478150820894
CFB2127,0,0.0942870762443398,0.0230196204400598,0.302164470393958,0.0617033017352312,0.156769278908751,0,0,0.120129304829081,0,0.105825604172407,0.0503312672395585,0.286092597247224,0,0,0.0846582395380654,0,0,0.130503539838892,0,0,1.82680020569886,0,0.949597185163051,0.369962623551268,3.24228450628643
CFB2128,0.25766447847826,0,0.037322004693949,0.37156488437232,0.176259448279676,0.144287382660841,0,0,0.22181383438597,0,0.168562123048048,0.0348942346176894,0.452964323426856,0,0,0.125341464102926,0,0,0.11095636845216,0,0.0140813850089476,1.46487392875043,0,0.914326577886958,0.499235626934339,3.58058586027807
CFB2134,0.113049586218861,0.0442255588826274,0.0375043495806452,0.273193134827657,0.154483025571295,0.112998296439823,0,0,0.255623376963633,0,0.213977848297869,0.0905476294137407,0.194146171070556,0,0,0.107603976097603,0,0,0.169693020205934,0,0,2.85209195633922,0,0.95122747433075,0.348918881540248,4.61913792990947
CFB2138,0.249427863891661,0.17476283005069,0.0563162795447559,0.950625302680469,0.0922848132499994,0.217636871582045,0,0,0.430954742791214,0,0.391146850477518,0.0895748591174032,0.24487280515795,0,0,0.111438713956869,0,0.00197931441569705,0.0811841499231098,0,0,1.80029943247193,0,0.93693752031827,0.491761975875991,4.89250482931131
CFB2140,0,0.0797957479271714,0.0421084808025112,0.546873715008711,0.0146343425405718,0.212245602207636,0,0.0175990180434331,0.279774694367403,0,0.278240749587547,0.105063936201326,0.45882237907746,0,0,0.171829864730181,0,0,0.13364346622498,0,0,2.27497410215019,0,0.924069550824447,0.446373397608913,4.61560609886912
CFB2142,0.039057368753852,0.119793796722277,0.0750864967991949,0.345596508581485,0.235843968444662,0.224063379195038,0.0427133139107354,0,0.242849662714545,0,0.329668978116376,0.0203801546644828,0.29435919763835,0,0,0.219903324454232,0,0,0.221506739609413,0,0,4.57004063953709,0,0.934203447351393,0.374910143599281,6.98086352914173
CFB2146,0.123208866147056,0.120030081212438,0.0155495606265792,0.435032882122797,0.130486535847178,0.0994115165871439,0,0,0.30776354128663,0,0.34955336125989,0.0832314859136336,0.0171459237970834,0,0,0.0534668791693689,0,0,0.154365463977482,0,0,3.02062540630969,0,0.950880434648429,0.355619489101117,4.90987150425697
CFB2149,0,0.128476119221354,0.0267775080579147,0.574455068291101,0.0186039366847667,0.0497857351886474,0,0,0.249890436407514,0,0.241036823178339,0,0.260184054795577,0,0,0.0639189565331575,0,0,0.0906476096883321,0,0,2.07639957541846,0,0.952119806478268,0.374355824165931,3.78017582346516
CFB2152,0.0377443055200704,0.0441094503210547,0.019449673071471,0.163096031284556,0.110719984185526,0.0741956357937755,0,0,0.147536128531684,0,0.117421000848412,0,0.107595208855769,0,0,0.0940806092822433,0,0,0.0953490378387101,0,0,1.93300131837128,0,0.917946245256764,0.409827274063773,2.94429838390455
